Song,Lyrics
Summertime Sadness,"Oh, oh, oh"
Summertime Sadness,Think I'll miss you forever
Summertime Sadness,Like the stars miss the sun in the morning sky
Summertime Sadness,Later's better than never
Summertime Sadness,"Even if you're gone, I'm gonna drive "
Summertime Sadness,Drive
Summertime Sadness,"I got that summertime, summertime sadness"
Summertime Sadness,"Su-su-summertime, summertime sadness"
Summertime Sadness,"Got that summertime, summertime sadness"
Summertime Sadness,"Oh, oh, oh"
Summertime Sadness,Kiss me hard before you go
Summertime Sadness,Summertime sadness
Summertime Sadness,I just wanted you to know
Summertime Sadness,"That, baby, you the best"
Summertime Sadness,"I got that summertime, summertime sadness"
Summertime Sadness,"Su-su-summertime, summertime sadness"
Summertime Sadness,"Got that summertime, summertime sadness"
Summertime Sadness,"Oh, oh, oh"
West Coast,"Down on the West coast, they got a sayin'"
West Coast,"""If you're not drinkin', then you're not playin'"""
West Coast,But you've got the music
West Coast,"You've got the music in you, don't you?"
West Coast,"Down on the West coast, I get this feeling like"
West Coast,"It all could happen, that's why I'm leaving"
West Coast,"You for the moment, you for the moment"
West Coast,"Boy Blue, yeah, you"
West Coast,"You're falling hard, I push away"
West Coast,", I'm feelin' hot to the touch"
West Coast,"You say you miss me and I wanna say, ""I miss you so much"""
West Coast,"But something keeps me really quiet, I'm alive, I'm a lush"
West Coast,"Your love, your love, my love"
West Coast,I can see my baby swinging
West Coast,His Parliament's on fire and his hands are up
West Coast,On the balcony and I'm singing
West Coast,"Ooh, baby, ooh, baby, I'm in love"
West Coast,I can see my sweet boy swaying
West Coast,"He's crazy y cubano como yo, la-la"
West Coast,On the balcony and I'm saying
West Coast,"Move, baby, move, baby, I'm in love"
West Coast,I'm in love 
West Coast,I'm in love 
West Coast,"Down on the West coast, they got their icons"
West Coast,"Their silver starlets, their Queens of Saigons"
West Coast,And you've got the music
West Coast,"You've got the music in you, don't you?"
West Coast,"Down on the West coast, they love their movies"
West Coast,Their golden gods and rock 'n' roll groupies
West Coast,And you've got the music
West Coast,"You've got the music in you, don't you?"
West Coast,"You push it hard, I pull away, I'm feeling hotter than fire"
West Coast,I guess that no one ever really made me feel that much higher
West Coast,"Te deseo, cariño, boy, it's you I desire"
West Coast,"Your love, your love, my love"
West Coast,I can see my baby swinging
West Coast,His Parliament's on fire and his hands are up
West Coast,On the balcony and I'm singing
West Coast,"Ooh, baby, ooh, baby, I'm in love"
West Coast,I can see my sweet boy swaying
West Coast,"He's crazy y cubano como yo, la-la"
West Coast,On the balcony and I'm saying
West Coast,"Move, baby, move, baby, I'm in love"
West Coast,I can see my baby swinging
West Coast,His Parliament's on fire and his hands are up
West Coast,On the balcony and I'm singing
West Coast,"Ooh, baby, ooh, baby, I'm in love"
West Coast,I can see my sweet boy swaying
West Coast,"He's crazy y cubano como yo, la-la"
West Coast,On the balcony and I'm saying
West Coast,"Move, baby, move, baby, I'm in love"
West Coast,I'm in love
West Coast,I'm in love
A W,I haven't done a cartwheel since I was nine
A W,"I haven't seen my mother in a long, long time"
A W,"I mean, look at me"
A W,"Look at the length of my hair and my face, the shape of my body"
A W,Do you really think I give a damn
A W,What I do after years of just hearing them talking?
A W,"I say I live in Rosemead, really, I'm at the Ramada"
A W,"It doesn't really matter, doesn't really, really matter"
A W,"Call him up, ""Come into my bedroom"""
A W,"Ended up, we fuck on the hotel floor"
A W,It's not about havin' someone to love me anymorе
A W,This is the experiеnce of bein' an American whore
A W,"Called up one drunk, called up another"
A W,Forensic Files
A W, wasn't on
A W,Watching 
A W,Teenage Diary of a Girl
A W,Wondering what went wrong
A W,"I'm a princess, I'm divisive"
A W,"Ask me why, why, why I'm like this"
A W,Maybe I'm just kinda like this
A W,"I don't know, maybe I'm just like this"
A W,"I say I live in Rosemead, really, I'm at the Ramada"
A W,"It doesn't really matter, doesn't really, really matter"
A W,"Call him up, he comes over again"
A W,"Yeah, I know I'm over my head, but, oh"
A W,It's not about havin' someone to love me anymore
A W,"No, this is the experience of bein' an American whore"
A W,"I mean, look at my hair"
A W,Look at the length of it and the shape of my body
A W,If I told you that I was raped
A W,Do you really think that anybody would think
A W,I didn't ask for it? I didn't ask for it
A W,"I won't testify, I already fucked up my story"
A W,"On top of this , so many other things you can't believe"
A W,Did you know a singer can still be
A W,Looking like a sidepiece at thirty-three?
A W,Got a cop who turned on the backbeat
A W,Puts the shower on while he calls me
A W,Slips out the back door to talk to me
A W,"I'm invisible, look how you hold me"
A W,"I'm invisible, I'm invisible"
A W,"I'm a ghost now, look how you hold me now"
A W,It's not about havin' someone to love me anymore 
A W,"No, this is the experience of bein' an American whore"
A W,It's not about havin' someone to love me anymore
A W,"No, this is the experience of bein' an American whore"
A W,This is the experience of bein' an American whore
A W,This is the experience of bein' an American whore
A W,This is the experience of bein' an American whore
A W,Woo
A W,"Jimmy, Jimmy, cocoa puff, Jimmy, Jimmy, ride"
A W,"Jimmy, Jimmy, cocoa puff, Jimmy, get me high "
A W,"Love me if you love or not, you can be my light"
A W,Jimmy only love me when he wanna get high
A W,Jimmy only love me when he wanna get high
A W,Jimmy only love me when he wanna get high
A W,Jimmy only love me when he wanna get high
A W,"Your mom called, I told her, you're fuckin' up big time"
A W,"Your mom called, I told her, you're fuckin' up big time"
A W,"Jimmy, Jimmy, cocoa puff, Jimmy, Jimmy, ride"
A W,"Jimmy, Jimmy, cocoa puff, Jimmy, get me high"
A W,"Love me if you live and love, you can be my light "
A W,Jimmy only love me when he wanna get high
A W,Jimmy only love me when he wanna get high
A W,Jimmy only love me when he wanna get high
A W,Jimmy only love me when he wanna get high
A W,"Your mom called, I told her, you're fuckin' up big time"
A W,"Jimmy, you should switch it up, baby, light it up "
A W,"Jimmy, if you leave the house, find me in the club "
A W,"Jimmy, if you switch it up, you should light it up"
A W,"Jimmy, if you leave the house, find me in the club "
A W,"Your mom called, I told her, you're fuckin' up big time"
A W,"But I don't care, baby, I already lost my mind"
A W,"Jimmy, if I lie it up, find me in the club "
A W,"Your mom called, I told her, you're fucking up big time"
A W,"Jimmy, Jimmy, cocoa puff, Jimmy, Jimmy, ride"
A W,"Jimmy, Jimmy, cocoa puff, Jimmy, get me high"
A W,"Love me if you love or not, you can be my light"
A W,Jimmy only love me when he wanna get high
A W,Jimmy only love me when he wanna get high
A W,Jimmy only love me when he wanna get high
A W,Jimmy only love me when he wanna get high
A W,"Your mom called, I told her, you're fuckin' up big time"
Video Games,"Swingin' in the backyard, pull up in your fast car"
Video Games,Whistlin' my name
Video Games,"Open up a beer and you say, ""Get over here"
Video Games,"And play a video game"""
Video Games,"I'm in his favorite sundress, watching me get undressed"
Video Games,Take that body downtown
Video Games,"I say, ""You the bestest,"" lean in for a big kiss, put his favorite perfume on"
Video Games,"""Go play your video game"""
Video Games,"It's you, it's you, it's all for you, everything I do"
Video Games,"I tell you all the time, Heaven is a place on Earth with you"
Video Games,Tell me all the things you wanna do
Video Games,"I heard that you like the bad girls, honey, is that true?"
Video Games,It's better than I ever even knew
Video Games,They say that the world was built for two
Video Games,Only worth living if somebody is loving you
Video Games,"And, baby, now you do"
Video Games,Mmm
Video Games,"Singin' in the old bars, swinging with the old stars"
Video Games,Livin' for the fame
Video Games,"Kissin' in the blue dark, playing pool and wild darts"
Video Games,Video games
Video Games,"He holds me in his big arms, drunk, and I am seeing stars"
Video Games,This is all I think of
Video Games,"Watchin' all our friends fall in and out of Old Paul's, this is my idea of fun"
Video Games,Playin' video games
Video Games,"It's you, it's you, it's all for you, everything I do"
Video Games,"I tell you all the time, Heaven is a place on Earth with you"
Video Games,Tell me all the things you wanna do
Video Games,"I heard that you like the bad girls, honey, is that true?"
Video Games,It's better than I ever even knew
Video Games,They say that the world was built for two
Video Games,Only worth living if somebody is loving you
Video Games,"And, baby, now you do"
Video Games,"It's you, it's you, it's all for you, everything I do"
Video Games,"I tell you all the time, Heaven is a place on Earth with you"
Video Games,Tell me all the things you wanna do
Video Games,"I heard that you like the bad girls, honey, is that true?"
Video Games,It's better than I ever even knew
Video Games,They say that the world was built for two
Video Games,Only worth living if somebody is loving you
Video Games,"And, baby, now you do"
Video Games,"Mmm, now you do"
Norman Fucking Rockwell,"Goddamn, man-child"
Norman Fucking Rockwell,"You fucked me so good that I almost said ""I love you"""
Norman Fucking Rockwell,You're fun and you’re wild
Norman Fucking Rockwell,But you don't know the half of the shit that you put me through
Norman Fucking Rockwell,Your poetry's bad and you blame the news
Norman Fucking Rockwell,"But I can’t change that, and I can't change your mood, ah"
Norman Fucking Rockwell,'Cause you're just a man
Norman Fucking Rockwell,It's just what you do
Norman Fucking Rockwell,Your head in your hands
Norman Fucking Rockwell,As you color me blue
Norman Fucking Rockwell,"Yeah, you're just a man"
Norman Fucking Rockwell,All through and through
Norman Fucking Rockwell,Your head in your hands
Norman Fucking Rockwell,As you color me blue
Norman Fucking Rockwell,"Blue, blue, blue"
Norman Fucking Rockwell,"Goddamn, man-child"
Norman Fucking Rockwell,You act like a kid even though you stand six foot two
Norman Fucking Rockwell,"Self-loathing poet, resident Laurel Canyon know-it-all"
Norman Fucking Rockwell,You talk to the walls when the party gets bored of you
Norman Fucking Rockwell,"But I don't get bored, I just see it through"
Norman Fucking Rockwell,Why wait for the best when I could have you? You?
Norman Fucking Rockwell,'Cause you’re just a man
Norman Fucking Rockwell,It’s just what you do
Norman Fucking Rockwell,Your head in your hands
Norman Fucking Rockwell,As you color me blue
Norman Fucking Rockwell,"Yeah, you're just a man"
Norman Fucking Rockwell,All through and through
Norman Fucking Rockwell,Your head in your hands
Norman Fucking Rockwell,As you color me blue
Norman Fucking Rockwell,"Blue, blue"
Norman Fucking Rockwell,You make me blue
Norman Fucking Rockwell,"Blue, blue"
Norman Fucking Rockwell,"Blue, blue, blue"
Norman Fucking Rockwell,"Blue, blue, blue"
Born To Die,[Intro: Lana Del Rey & 
Born To Die,Mountain
Born To Die,]
Born To Die,Why? (
Born To Die,Got that?
Born To Die,)
Born To Die,Who? Me? (
Born To Die,Louder
Born To Die,)
Born To Die,Why? (
Born To Die,Got that?
Born To Die,)
Born To Die,"[Verse 1: Lana Del Rey, "
Born To Die,Mountain
Born To Die,]
Born To Die,"Feet don't fail me now, take me to the finish line"
Born To Die,"Oh, my heart, it breaks every step that I take"
Born To Die,"But I'm hoping that the gates, they'll tell me that you're mine"
Born To Die,"Walking through the city streets, is it by mistake or design?"
Born To Die,I feel so alone on a Friday night
Born To Die,Can you make it feel like home if I tell you you're mine?
Born To Die,"It's like I told you, honey ("
Born To Die,Louder
Born To Die,)
Born To Die,"Don't make me sad, don't make me cry"
Born To Die,"Sometimes, love is not enough"
Born To Die,"And the road gets tough, I don't know why"
Born To Die,"Keep makin' me laugh, let's go get high"
Born To Die,"The road is long, we carry on"
Born To Die,Try to have fun in the meantime
Born To Die,"[Chorus: Lana Del Rey, "
Born To Die,Mountain
Born To Die,]
Born To Die,Come and take a walk on the wild side
Born To Die,Let me kiss you hard in the pouring rain
Born To Die,You like your girls insane (
Born To Die,"Louder, alright"
Born To Die,)
Born To Die,Choose your last words
Born To Die,", this is the last time"
Born To Die,"'Cause you and I, we were born to die"
Born To Die,"[Verse 2: Lana Del Rey, "
Born To Die,Mountain
Born To Die,]
Born To Die,"Lost, but now I am found"
Born To Die,"I can see that, once, I was blind"
Born To Die,I was so confused as a little child
Born To Die,"Tried to take what I could get, scared that I couldn't find"
Born To Die,"All the answers, honey ("
Born To Die,Louder
Born To Die,)
Born To Die,"Don't make me sad, don't make me cry"
Born To Die,"Sometimes, love is not enough"
Born To Die,"And the road gets tough, I don't know why"
Born To Die,"Keep makin' me laugh, let's go get high"
Born To Die,"The road is long, we carry on"
Born To Die,Try to have fun in the meantime
Born To Die,"[Chorus: Lana Del Rey, "
Born To Die,Mountain
Born To Die,]
Born To Die,Come and take a walk on the wild side
Born To Die,Let me kiss you hard in the pouring rain
Born To Die,You like your girls insane (
Born To Die,"Louder, alright"
Born To Die,)
Born To Die,"Choose your last words, this is the last time"
Born To Die,"'Cause you and I, we were born to die"
Born To Die,We were born to die
Born To Die,We were born to die
Born To Die,Come and take a walk on the wild side
Born To Die,Let me kiss you hard in the pouring rain
Born To Die,You like your girls insane
Born To Die,"So don't make me sad, don't make me cry"
Born To Die,"Sometimes, love is not enough"
Born To Die,"And the road gets tough, I don't know why"
Born To Die,"Keep makin' me laugh, let's go get high"
Born To Die,"The road is long, we carry on"
Born To Die,Try to have fun in the meantime
Born To Die,"[Chorus: Lana Del Rey, "
Born To Die,Mountain
Born To Die,]
Born To Die,Come and take a walk on the wild side
Born To Die,Let me kiss you hard in the pouring rain
Born To Die,You like your girls insane (
Born To Die,"Louder, alright"
Born To Die,)
Born To Die,"Choose your last words, this is the last time"
Born To Die,"'Cause you and I, we were born to die"
Born To Die,"[Outro: Lana Del Rey, "
Born To Die,Mountain
Born To Die,]
Born To Die,(
Born To Die,Louder
Born To Die,)
Born To Die,We were born to die
Born To Die,(
Born To Die,Louder
Born To Die,)
Born To Die,(
Born To Die,Louder
Born To Die,)
Born To Die,(
Born To Die,Louder
Born To Die,)
Born To Die,(
Born To Die,Got that?
Born To Die,)
Born To Die,(
Born To Die,Louder
Born To Die,)
Love,"Look at you, kids, with your vintage music"
Love,Comin' through satellites while cruisin'
Love,"You're part of the past, but now you're the future"
Love,Signals crossing can get confusin'
Love,"It's enough just to make you feel crazy, crazy, crazy"
Love,"Sometimes, it's enough just to make you feel crazy"
Love,"You get ready, you get all dressed up"
Love,To go nowhere in particular
Love,Back to work or the coffee shop
Love,Doesn't matter 'cause it's enough
Love,To be young and in lo-ove
Love,To be young and in lo-ove
Love,"Look at you, kids, you know you're the coolest"
Love,The world is yours and you can't refuse it
Love,"Seen so much, you could get the blues"
Love,But that don't mean that you should abuse it
Love,"Though it's enough just to make you go crazy, crazy, crazy"
Love,"I know, it's enough just to make you go crazy, crazy, crazy"
Love,"But you get ready, you get all dressed up"
Love,To go nowhere in particular
Love,Back to work or the coffee shop
Love,It don't matter because it's enough
Love,To be young and in lo-ove
Love,To be young and in lo-ove
Love,Mmm 
Love,Mmm 
Love,Mmm
Love,"Don't worry, baby"
Love,Mmm 
Love,Mmm 
Love,Mmm
Love,"Don't worry, baby"
Love,"And it's enough just to make me go crazy, crazy, crazy"
Love,"It's enough just to make me go crazy, crazy, crazy"
Love,"I get ready, I get all dressed up"
Love,To go nowhere in particular
Love,It doesn't matter if I'm not enough
Love,For the future or the things to come
Love,'Cause I'm young and in lo-ove
Love,"I'm young and in lo—, lo-lo-lo, love"
Love,Mmm 
Love,Mmm 
Love,Mmm
Love,"Don't worry, baby"
Love,Mmm 
Love,Mmm 
Love,Mmm
Love,"Don't worry, baby"
Love,Mmm 
Love,Mmm 
Love,Mmm
Love,"Don't worry, baby"
Lust For Life,Oh
Lust For Life,Climb up the H of the Hollywood sign 
Lust For Life,"In these stolen moments, the world is mine"
Lust For Life,"There's nobody here, just us together"
Lust For Life,Keepin' me hot like July forever
Lust For Life,'Cause we're the masters of our own fate
Lust For Life,We're the captains of our own souls
Lust For Life,There's no way for us to come late
Lust For Life,"'Cause, boy, we're gold, boy, we're gold"
Lust For Life,And I was like
Lust For Life,"[Pre-Chorus: Lana Del Rey, "
Lust For Life,The Weeknd
Lust For Life,]
Lust For Life,"Take off, take off, take off all your clothes"
Lust For Life,"Take off, take off, take off all your clothes"
Lust For Life,"Take off, take off, take off all of your clothes"
Lust For Life,They say only the good die young
Lust For Life,That just ain't right
Lust For Life,'Cause we're having too much fun
Lust For Life,"Too much fun tonight, yeah"
Lust For Life,"[Chorus: Lana Del Rey, "
Lust For Life,The Weeknd
Lust For Life,]
Lust For Life,And a lust for life (
Lust For Life,And a lust for life
Lust For Life,)
Lust For Life,And a lust for life (
Lust For Life,And a lust for life
Lust For Life,)
Lust For Life,Keeps us alive (
Lust For Life,Keeps us alive
Lust For Life,)
Lust For Life,Keeps us alive (
Lust For Life,Keeps us alive
Lust For Life,)
Lust For Life,And a lust for life (
Lust For Life,And a lust for life
Lust For Life,)
Lust For Life,And a lust for life (
Lust For Life,And a lust for life
Lust For Life,)
Lust For Life,Keeps us alive (
Lust For Life,Keeps us alive
Lust For Life,)
Lust For Life,Keeps us alive (
Lust For Life,Keeps us alive
Lust For Life,)
Lust For Life,"[Verse 2: Lana Del Rey, "
Lust For Life,The Weeknd
Lust For Life,", "
Lust For Life,Lana Del Rey & The Weeknd
Lust For Life,]
Lust For Life,We dance on the H of the Hollywood sign 
Lust For Life,"'Til we run out of breath, "
Lust For Life,gotta dance 'til we die
Lust For Life,My boyfriend's back (
Lust For Life,Oh-oh
Lust For Life,) and he's cooler than ever (
Lust For Life,Woah
Lust For Life,)
Lust For Life,"There's no more night, "
Lust For Life,blue skies forever
Lust For Life,'Cause we're the masters of our own fate
Lust For Life,We're the captains of our own souls
Lust For Life,So there's no need for us to hesitate
Lust For Life,"We're all alone, let's take control"
Lust For Life,And I was like
Lust For Life,"[Pre-Chorus: The Weeknd, "
Lust For Life,Lana Del Rey
Lust For Life,]
Lust For Life,"Take off, take off, take off all your clothes"
Lust For Life,"Take off, take off, take off all your clothes"
Lust For Life,"Take off, take off, take off all of your clothes"
Lust For Life,They say only the good die young
Lust For Life,That just ain't right
Lust For Life,'Cause we're havin' too much fun
Lust For Life,Too much fun tonight
Lust For Life,", yeah"
Lust For Life,"[Chorus: Lana Del Rey, "
Lust For Life,The Weeknd
Lust For Life,]
Lust For Life,And a lust for life (
Lust For Life,And a lust for life
Lust For Life,)
Lust For Life,And a lust for life (
Lust For Life,And a lust for life
Lust For Life,)
Lust For Life,Keeps us alive (
Lust For Life,Keeps us alive
Lust For Life,)
Lust For Life,Keeps us alive (
Lust For Life,Keeps us alive
Lust For Life,)
Lust For Life,And a lust for life (
Lust For Life,And a lust for life
Lust For Life,)
Lust For Life,And a lust for life (
Lust For Life,And a lust for life
Lust For Life,)
Lust For Life,Keeps us alive (
Lust For Life,Keeps us alive
Lust For Life,)
Lust For Life,Keeps us alive (
Lust For Life,Keeps us alive
Lust For Life,)
Lust For Life,Oh
Lust For Life,"[Bridge: Lana Del Rey, "
Lust For Life,The Weeknd
Lust For Life,", "
Lust For Life,Lana Del Rey & The Weeknd
Lust For Life,]
Lust For Life,My boyfriend's back and he's cooler than ever
Lust For Life,"There's no more night, "
Lust For Life,blue skies forever
Lust For Life,I told you twice in our love letter
Lust For Life,"There's no stopping now, "
Lust For Life,green lights forever
Lust For Life,And I was like
Lust For Life,"Take off, take off, take off all your clothes"
Lust For Life,"Take off, take off, take off all your clothes"
Lust For Life,"Take off, take off, take off all of your clothes"
Lust For Life,"[Chorus: Lana Del Rey, "
Lust For Life,The Weeknd
Lust For Life,]
Lust For Life,And a lust for life (
Lust For Life,And a lust for life
Lust For Life,)
Lust For Life,And a lust for life (
Lust For Life,And a lust for life
Lust For Life,)
Lust For Life,Keeps us alive (
Lust For Life,Keeps us alive
Lust For Life,)
Lust For Life,Keeps us alive (
Lust For Life,Keeps us alive
Lust For Life,)
Lust For Life,And a lust for life (
Lust For Life,And a lust for life
Lust For Life,)
Lust For Life,And a lust for life (
Lust For Life,And a lust for life
Lust For Life,)
Lust For Life,Keeps us alive (
Lust For Life,Keeps us alive
Lust For Life,)
Lust For Life,Keeps us alive (
Lust For Life,Keeps us alive
Lust For Life,)
Lust For Life,Oh
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,I was reading Slim Aarons and I got to thinking that I thought
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,Maybe I'd get less stressed if I was tested less like
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,All of these debutantes
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,Smiling for miles in pink dresses and high heels on white yachts
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,"But I'm not, baby, I'm not"
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,"No, I'm not, that, I'm not"
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,I've been tearing around in my fucking nightgown
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,24/7 Sylvia Plath
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,Writing in blood on my walls
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,'Cause the ink in my pen don't work in my notepad
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,"Don't ask if I'm happy, you know that I'm not"
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,"But at best, I can say I'm not sad"
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,'Cause hope is a dangerous thing for a woman like me to have
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,Hope is a dangerous thing for a woman like me to have
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,I had 15-year dances
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,"Church basement romances, yeah, I've cried"
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,Spilling my guts with the Bowery Bums
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,Is the only love I've ever known
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,"Except for the stage, which I also call home, when I'm not"
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,Servin' up God in a burnt coffee pot for the triad
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,"Hello, it's the most famous woman you know on the iPad"
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,"Calling from beyond the grave, I just wanna say, ""Hi, Dad"""
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,I've been tearing up town in my fucking white gown
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,Like a goddamn near sociopath
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,Shaking my ass is the only thing that's
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,Got this black narcissist off my back
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,"She couldn't care less, and I never cared more"
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,So there's no more to say about that
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,Except hope is a dangerous thing for a woman like me to have
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,Hope is a dangerous thing for a woman with my past
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,"There's a new revolution, a loud evolution that I saw"
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,Born of confusion and quiet collusion of which mostly I've known
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,"A modern day woman with a weak constitution, 'cause I've got"
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,Monsters still under my bed that I could never fight off
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,A gatekeeper carelessly dropping the keys on my nights off
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,I've been tearing around in my fucking nightgown
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,24/7 Sylvia Plath
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,Writing in blood on your walls
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,'Cause the ink in my pen don't look good in my pad
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,"They write that I'm happy, they know that I'm not"
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,"But at best, you can see I'm not sad"
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,But hope is a dangerous thing for a woman like me to have
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,Hope is a dangerous thing for a woman like me to have
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,Hope is a dangerous thing for a woman like me to have
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,But I have it
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,"Yeah, I have it"
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,"Yeah, I have it"
Hope Is A Dangerous Thing For A Woman Like Me To Have But I Have It,I have
